# Athena++ data at time=6.000000e-01  cycle=7794  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3         Bcc1         Bcc2         Bcc3     
0002  5.09640e-02  1.57346e+03  1.22663e+04  3.39417e+00 -7.32318e-15  9.67837e-02  1.91916e+02 -1.16555e-13 -1.69214e+01
0003  5.28679e-02  1.24943e+03  8.33675e+03  3.99788e+00  2.06269e-14 -3.05230e-02  1.78323e+02  6.57151e-13 -2.10428e+01
0004  5.47718e-02  1.07208e+03  6.44336e+03  4.32781e+00 -4.42039e-15 -1.06865e-01  1.66125e+02 -1.35458e-13 -2.12234e+01
0005  5.66757e-02  9.52879e+02  5.28648e+03  4.53738e+00  1.07863e-14 -1.60172e-01  1.55138e+02  3.43622e-13 -2.11781e+01
0006  5.85797e-02  8.61736e+02  4.46729e+03  4.69178e+00  1.29979e-14 -1.99128e-01  1.45206e+02  5.16106e-13 -2.08971e+01
0007  6.04836e-02  7.87416e+02  3.84195e+03  4.81400e+00 -1.49859e-14 -2.32880e-01  1.36198e+02 -4.39247e-13 -2.04997e+01
0008  6.23876e-02  7.24701e+02  3.34439e+03  4.91485e+00  8.31000e-15 -2.65130e-01  1.28003e+02  1.81770e-13 -2.01135e+01
0009  6.42916e-02  6.70533e+02  2.93740e+03  5.00112e+00 -1.24039e-15 -2.94104e-01  1.20527e+02 -4.22592e-14 -1.96865e+01
0010  6.61957e-02  6.23094e+02  2.59869e+03  5.07612e+00  1.25577e-14 -3.20884e-01  1.13686e+02  3.11305e-13 -1.92433e+01
0011  6.80997e-02  5.81136e+02  2.31320e+03  5.14206e+00 -6.99746e-15 -3.46262e-01  1.07413e+02 -1.58063e-13 -1.88031e+01
0012  7.00038e-02  5.43722e+02  2.07000e+03  5.20061e+00  8.32215e-15 -3.70558e-01  1.01644e+02  2.01828e-13 -1.83716e+01
0013  7.19078e-02  5.10135e+02  1.86104e+03  5.25303e+00  4.29421e-16 -3.93980e-01  9.63286e+01  2.09829e-14 -1.79514e+01
0014  7.38119e-02  4.79814e+02  1.68014e+03  5.30028e+00  7.03558e-16 -4.16679e-01  9.14193e+01  3.79346e-14 -1.75440e+01
0015  7.57160e-02  4.52309e+02  1.52252e+03  5.34312e+00  1.09792e-15 -4.38767e-01  8.68759e+01  5.20497e-14 -1.71501e+01
0016  7.76201e-02  4.27253e+02  1.38441e+03  5.38215e+00  3.66657e-15 -4.60332e-01  8.26631e+01  8.35416e-14 -1.67698e+01
0017  7.95242e-02  4.04340e+02  1.26278e+03  5.41787e+00 -3.20900e-15 -4.81445e-01  7.87495e+01 -3.49142e-14 -1.64030e+01
0018  8.14283e-02  3.83317e+02  1.15516e+03  5.45069e+00  5.97728e-15 -5.02162e-01  7.51074e+01  1.16732e-13 -1.60496e+01
0019  8.33324e-02  3.63970e+02  1.05954e+03  5.48094e+00 -4.15311e-15 -5.22530e-01  7.17122e+01 -5.91237e-14 -1.57092e+01
0020  8.52366e-02  3.46115e+02  9.74261e+02  5.50891e+00  4.30551e-15 -5.42589e-01  6.85423e+01  7.74580e-14 -1.53812e+01
0021  8.71407e-02  3.29594e+02  8.97934e+02  5.53486e+00  9.99906e-16 -5.62372e-01  6.55779e+01  6.66288e-15 -1.50653e+01
0022  8.90449e-02  3.14273e+02  8.29396e+02  5.55898e+00 -4.82699e-15 -5.81907e-01  6.28018e+01 -6.79916e-14 -1.47610e+01
0023  9.09490e-02  3.00032e+02  7.67663e+02  5.58146e+00 -1.23480e-15 -6.01217e-01  6.01984e+01 -3.99282e-15 -1.44678e+01
0024  9.28532e-02  2.86769e+02  7.11902e+02  5.60245e+00  3.67979e-15 -6.20325e-01  5.77536e+01  4.63325e-14 -1.41852e+01
0025  9.47574e-02  2.74392e+02  6.61401e+02  5.62211e+00 -5.23897e-16 -6.39247e-01  5.54547e+01 -1.74459e-14 -1.39127e+01
0026  9.66615e-02  2.62823e+02  6.15549e+02  5.64053e+00  1.67917e-15 -6.58001e-01  5.32904e+01  1.95258e-14 -1.36498e+01
0027  9.85657e-02  2.51989e+02  5.73819e+02  5.65784e+00  3.86740e-16 -6.76599e-01  5.12504e+01  2.06204e-15 -1.33962e+01
0028  1.00470e-01  2.41829e+02  5.35755e+02  5.67412e+00  1.64102e-15 -6.95054e-01  4.93254e+01  2.03738e-14 -1.31514e+01
0029  1.02374e-01  2.32285e+02  5.00963e+02  5.68947e+00  1.12885e-15 -7.13378e-01  4.75068e+01  1.87854e-14 -1.29149e+01
0030  1.04278e-01  2.23309e+02  4.69096e+02  5.70395e+00  1.27495e-15 -7.31580e-01  4.57870e+01  2.03996e-14 -1.26865e+01
0031  1.06182e-01  2.14853e+02  4.39853e+02  5.71764e+00 -6.14705e-16 -7.49668e-01  4.41589e+01 -2.00501e-15 -1.24656e+01
0032  1.08087e-01  2.06879e+02  4.12969e+02  5.73059e+00  2.37599e-15 -7.67651e-01  4.26161e+01  2.86924e-14 -1.22521e+01
0033  1.09991e-01  1.99349e+02  3.88211e+02  5.74286e+00 -3.39041e-16 -7.85536e-01  4.11528e+01 -8.53171e-15 -1.20455e+01
0034  1.11895e-01  1.92231e+02  3.65372e+02  5.75449e+00  3.12411e-16 -8.03330e-01  3.97636e+01  6.46992e-15 -1.18455e+01
0035  1.13799e-01  1.85494e+02  3.44271e+02  5.76554e+00  1.50667e-15 -8.21038e-01  3.84436e+01  2.27652e-14 -1.16519e+01
0036  1.15703e-01  1.79111e+02  3.24745e+02  5.77605e+00  2.94327e-16 -8.38665e-01  3.71882e+01  1.27182e-14 -1.14643e+01
0037  1.17608e-01  1.73057e+02  3.06650e+02  5.78604e+00  2.10425e-15 -8.56217e-01  3.59934e+01  3.03858e-14 -1.12825e+01
0038  1.19512e-01  1.67310e+02  2.89859e+02  5.79556e+00  1.48288e-15 -8.73698e-01  3.48552e+01  1.77329e-14 -1.11062e+01
0039  1.21416e-01  1.61848e+02  2.74256e+02  5.80463e+00 -2.97496e-16 -8.91112e-01  3.37701e+01  4.53746e-15 -1.09352e+01
0040  1.23320e-01  1.56654e+02  2.59738e+02  5.81329e+00  2.20976e-15 -9.08463e-01  3.27350e+01  2.82412e-14 -1.07693e+01
0041  1.25225e-01  1.51709e+02  2.46213e+02  5.82156e+00  8.35162e-17 -9.25754e-01  3.17467e+01  4.53998e-16 -1.06083e+01
0042  1.27129e-01  1.46998e+02  2.33597e+02  5.82946e+00  9.29488e-16 -9.42989e-01  3.08025e+01  1.26999e-14 -1.04519e+01
0043  1.29033e-01  1.42506e+02  2.21817e+02  5.83702e+00  2.31199e-15 -9.60170e-01  2.98999e+01  2.18222e-14 -1.03000e+01
0044  1.30937e-01  1.38219e+02  2.10804e+02  5.84425e+00  1.52412e-15 -9.77301e-01  2.90363e+01  1.24633e-14 -1.01523e+01
0045  1.32841e-01  1.34125e+02  2.00497e+02  5.85118e+00  1.50336e-15 -9.94383e-01  2.82096e+01  1.20601e-14 -1.00087e+01
0046  1.34746e-01  1.30212e+02  1.90841e+02  5.85782e+00  1.12266e-15 -1.01142e+00  2.74177e+01  3.79959e-15 -9.86911e+00
0047  1.36650e-01  1.26470e+02  1.81786e+02  5.86419e+00  1.20757e-15 -1.02841e+00  2.66587e+01  2.79862e-15 -9.73327e+00
0048  1.38554e-01  1.22889e+02  1.73285e+02  5.87031e+00  1.10283e-15 -1.04537e+00  2.59308e+01  2.34920e-15 -9.60107e+00
0049  1.40458e-01  1.19460e+02  1.65298e+02  5.87618e+00  1.42632e-15 -1.06228e+00  2.52323e+01  8.51130e-15 -9.47235e+00
0050  1.42363e-01  1.16173e+02  1.57787e+02  5.88182e+00  2.26125e-15 -1.07915e+00  2.45617e+01  1.82828e-14 -9.34700e+00
0051  1.44267e-01  1.13022e+02  1.50716e+02  5.88725e+00  2.01131e-15 -1.09599e+00  2.39174e+01  1.57473e-14 -9.22488e+00
0052  1.46171e-01  1.09998e+02  1.44054e+02  5.89247e+00  2.42458e-15 -1.11280e+00  2.32982e+01  1.72126e-14 -9.10587e+00
0053  1.48075e-01  1.07095e+02  1.37773e+02  5.89749e+00  2.15688e-15 -1.12957e+00  2.27027e+01  1.22262e-14 -8.98985e+00
0054  1.49980e-01  1.04307e+02  1.31845e+02  5.90233e+00  1.20404e-15 -1.14631e+00  2.21297e+01 -3.54924e-15 -8.87672e+00
0055  1.51884e-01  1.01627e+02  1.26247e+02  5.90699e+00 -5.84057e-16 -1.16302e+00  2.15782e+01 -1.44718e-14 -8.76637e+00
0056  1.53788e-01  9.90505e+01  1.20955e+02  5.91149e+00 -7.06087e-16 -1.17970e+00  2.10470e+01 -9.41299e-15 -8.65871e+00
0057  1.55692e-01  9.65712e+01  1.15950e+02  5.91582e+00 -6.52701e-16 -1.19635e+00  2.05352e+01 -6.15852e-16 -8.55363e+00
0058  1.57597e-01  9.41847e+01  1.11213e+02  5.92001e+00 -7.71016e-16 -1.21298e+00  2.00419e+01 -1.52801e-15 -8.45104e+00
0059  1.59501e-01  9.18862e+01  1.06725e+02  5.92405e+00 -9.43534e-16 -1.22958e+00  1.95661e+01 -4.21355e-15 -8.35087e+00
0060  1.61405e-01  8.96715e+01  1.02472e+02  5.92795e+00 -1.24272e-15 -1.24616e+00  1.91070e+01 -4.05514e-15 -8.25302e+00
0061  1.63309e-01  8.75366e+01  9.84371e+01  5.93171e+00 -1.94969e-15 -1.26271e+00  1.86640e+01 -5.77134e-16 -8.15742e+00
0062  1.65214e-01  8.54776e+01  9.46075e+01  5.93536e+00 -1.90754e-15 -1.27924e+00  1.82361e+01  5.98546e-15 -8.06399e+00
